Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
27193394,4/1/2017 0:59,4/1/2017 1:43,70024,2659,1012,North Shore Trail & Fort Duquesne Bridge,1045,S 27th St & Sidney St. (Southside Works),Customer
27193815,4/1/2017 1:43,4/1/2017 1:48,70353,284,1037,Frew St & Schenley Dr,1038,Boulevard of the Allies & Parkview Ave,Subscriber
27194749,4/1/2017 2:35,4/1/2017 3:01,70067,1576,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
27201194,4/1/2017 5:05,4/1/2017 7:46,70191,9695,1005,Forbes Ave & Grant St,1043,Coltart Ave & Forbes Ave,Customer
27203670,4/1/2017 5:35,4/1/2017 5:54,70353,1164,1038,Boulevard of the Allies & Parkview Ave,1047,S 22nd St & E Carson St,Subscriber
27225284,4/1/2017 8:42,4/1/2017 8:52,70075,595,1020,42nd & Penn Ave.,1026,Penn Ave & S Whitfield St,Subscriber
27226103,4/1/2017 8:49,4/1/2017 8:57,70175,484,1003,First Ave & Smithfield St (Art Institute),1016,17th St & Penn Ave,Subscriber
27230328,4/1/2017 9:21,4/1/2017 9:39,70198,1037,1002,Third Ave & Wood St,1049,S 12th St & E Carson St,Subscriber
27232566,4/1/2017 9:39,4/1/2017 9:48,70481,535,1027,Shady Ave & Ellsworth Ave,1034,Ellsworth Ave & N Neville St,Subscriber
27232898,4/1/2017 9:41,4/1/2017 9:59,70497,1083,1020,42nd & Penn Ave.,1026,Penn Ave & S Whitfield St,Customer
27240406,4/1/2017 10:37,4/1/2017 12:42,70418,7500,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
27243591,4/1/2017 11:01,4/1/2017 11:27,70465,1586,1007,Stevenson St & Forbes Ave,1037,Frew St & Schenley Dr,Customer
27243707,4/1/2017 11:01,4/1/2017 11:27,70153,1552,1007,Stevenson St & Forbes Ave,1037,Frew St & Schenley Dr,Customer
27247726,4/1/2017 11:31,4/1/2017 12:02,70231,1868,1034,Ellsworth Ave & N Neville St,1045,S 27th St & Sidney St. (Southside Works),Customer
27249827,4/1/2017 11:47,4/1/2017 12:14,70240,1638,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
27250013,4/1/2017 11:48,4/1/2017 11:52,70468,238,1021,Taylor St & Liberty Ave,1019,42nd St & Butler St,Subscriber
27250274,4/1/2017 11:50,4/1/2017 11:56,70403,356,1038,Boulevard of the Allies & Parkview Ave,1041,Fifth Ave & S Bouquet St,Subscriber
27250501,4/1/2017 11:51,4/1/2017 11:56,70207,265,1038,Boulevard of the Allies & Parkview Ave,1041,Fifth Ave & S Bouquet St,Subscriber
27251724,4/1/2017 12:01,4/1/2017 12:19,70257,1085,1017,21st St & Penn Ave,1050,Healthy Ride Hub,Customer
27254536,4/1/2017 12:21,4/1/2017 12:26,70403,320,1041,Fifth Ave & S Bouquet St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
27254617,4/1/2017 12:22,4/1/2017 12:26,70207,286,1041,Fifth Ave & S Bouquet St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
27260620,4/1/2017 13:08,4/1/2017 13:37,70471,1703,1015,Federal St & E North Ave,1019,42nd St & Butler St,Customer
27261324,4/1/2017 13:14,4/1/2017 13:21,70131,402,1033,Ivy St & Walnut St   ,1027,Shady Ave & Ellsworth Ave,Customer
27264993,4/1/2017 13:47,4/1/2017 14:12,70413,1485,1039,Atwood St & Bates St,1045,S 27th St & Sidney St. (Southside Works),Customer
27266747,4/1/2017 14:04,4/1/2017 19:17,70191,18788,1043,Coltart Ave & Forbes Ave,1005,Forbes Ave & Grant St,Customer
27268929,4/1/2017 14:30,4/1/2017 14:41,70151,687,1046,S 25th St & E Carson St,1049,S 12th St & E Carson St,Customer
27271259,4/1/2017 15:00,4/1/2017 15:05,70485,319,1025,Penn Ave & N Fairmount St,1029,Alder St & S Highland Ave,Subscriber
27272571,4/1/2017 15:17,4/1/2017 15:34,70016,976,1026,Penn Ave & S Whitfield St,1020,42nd & Penn Ave.,Customer
27273085,4/1/2017 15:25,4/1/2017 15:38,70485,752,1029,Alder St & S Highland Ave,1020,42nd & Penn Ave.,Subscriber
27273333,4/1/2017 15:30,4/1/2017 16:24,70240,3218,1012,North Shore Trail & Fort Duquesne Bridge,1018,37th St & Butler St,Subscriber
27273382,4/1/2017 15:31,4/1/2017 16:24,70239,3176,1012,North Shore Trail & Fort Duquesne Bridge,1018,37th St & Butler St,Customer
27274449,4/1/2017 15:50,4/1/2017 16:09,70100,1124,1003,First Ave & Smithfield St (Art Institute),1047,S 22nd St & E Carson St,Subscriber
27275288,4/1/2017 16:06,4/1/2017 16:46,70262,2342,1014,Ridge Ave & Brighton Rd (CCAC),1014,Ridge Ave & Brighton Rd (CCAC),Customer
27275689,4/1/2017 16:15,4/1/2017 16:45,70135,1826,1014,Ridge Ave & Brighton Rd (CCAC),1014,Ridge Ave & Brighton Rd (CCAC),Customer
27276283,4/1/2017 16:27,4/1/2017 16:33,70452,364,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
27276341,4/1/2017 16:28,4/1/2017 16:57,70107,1730,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1029,Alder St & S Highland Ave,Customer
27276728,4/1/2017 16:36,4/1/2017 16:56,70456,1236,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1029,Alder St & S Highland Ave,Customer
27276739,4/1/2017 16:36,4/1/2017 16:57,70061,1236,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1029,Alder St & S Highland Ave,Customer
27277067,4/1/2017 16:43,4/2/2017 12:49,70465,72337,1037,Frew St & Schenley Dr,1007,Stevenson St & Forbes Ave,Customer
27277097,4/1/2017 16:44,4/1/2017 17:16,70153,1892,1037,Frew St & Schenley Dr,1007,Stevenson St & Forbes Ave,Customer
27277973,4/1/2017 17:05,4/1/2017 17:29,70184,1432,1023,Liberty Ave & Baum Blvd,1013,Isabella St & Federal St (PNC Park),Customer
27278836,4/1/2017 17:26,4/1/2017 17:30,70403,235,1038,Boulevard of the Allies & Parkview Ave,1041,Fifth Ave & S Bouquet St,Subscriber
27280195,4/1/2017 18:06,4/1/2017 18:27,70460,1246,1021,Taylor St & Liberty Ave,1045,S 27th St & Sidney St. (Southside Works),Subscriber
27281006,4/1/2017 18:30,4/1/2017 18:37,70484,431,1029,Alder St & S Highland Ave,1029,Alder St & S Highland Ave,Subscriber
27281017,4/1/2017 18:30,4/1/2017 19:22,70355,3129,1041,Fifth Ave & S Bouquet St,1041,Fifth Ave & S Bouquet St,Customer
27281892,4/1/2017 19:07,4/1/2017 19:14,70096,397,1047,S 22nd St & E Carson St,1045,S 27th St & Sidney St. (Southside Works),Subscriber
